step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,3,0.0009839540098395,C1231006815,0.0043736760925449,0.0041207290488431,M1979787155,0.0,0.0,0,0
1,3,0.0001864180018641,C1666544295,0.0005462467866323,0.0004983218508997,M2044282225,0.0,0.0,0,0
1,3,0.001166804011668,C2048537720,0.0010682262210796,0.0007682740359897,M1230701703,0.0,0.0,0,0
1,3,0.0007817610078176,C90045638,0.0013845758354755,0.0011836064267352,M573487274,0.0,0.0,0,0
1,3,0.0007107670071076,C154988899,0.004709383033419,0.0045266640102827,M408069119,0.0,0.0,0,0
1,3,0.0007861540078615,C1912850431,0.0045266640102827,0.0043245652956298,M633326333,0.0,0.0,0,0
1,3,0.0004024260040242,C1265012928,6.866323907455013e-05,0.0,M1176932104,0.0,0.0,0,0
1,2,0.0005337670053376,C712410124,0.0010724935732647,0.0009352758354755,C195600860,0.0009952019002375,0.0009561324644549,0,0
1,2,0.0009644840096448,C1900366749,0.0001147814910025,0.0,C997608398,0.0002576009501187,0.0037436521327014,0,0
1,3,0.0003099870030998,C249177573,0.0005339588688946,0.0004542681233933,M2096539129,0.0,0.0,0,0
1,3,0.0002560640025606,C1648232591,0.0001303341902313,6.450539845758356e-05,M972865270,0.0,0.0,0,0
1,3,0.0011633660116336,C1716932897,0.0002603341902313,0.0,M801569151,0.0,0.0,0,0
1,3,0.0004098680040986,C1026483832,0.0129373778920308,0.0128320107969151,M1635378213,0.0,0.0,0,0
1,1,0.0229133842291338,C905080434,0.0003939588688946,0.0,C476402209,0.0001207363420427,0.0012206976303317,0,0
1,3,0.0001563720015637,C761750706,1.1568123393316196e-05,0.0,M1731217984,0.0,0.0,0,0
1,3,0.0001157760011577,C1237762639,0.0005438560411311,0.0005140910025706,M1877062907,0.0,0.0,0,0
1,3,6.715400067154001e-05,C2033524545,0.000388766066838,0.0003715002570694,M473053293,0.0,0.0,0,0
1,4,0.0215310202153102,C1670993182,1.812339331619537e-05,0.0,C1100439041,0.0005326603325415,0.0,0,0
1,3,0.0001373330013733,C20804602,0.0003561439588688,0.0003208372750642,M1344519051,0.0,0.0,0,0
1,2,0.0009302690093026,C1566511282,0.0002904627249357,5.131645244215939e-05,C1973538135,0.0007085985748218,0.0004003957345971,0,0
1,2,0.0001065310010653,C1959239586,4.67095115681234e-05,1.9321079691516712e-05,C515132998,0.0002453681710213,0.0,0,0
1,3,0.0003876310038763,C504336483,0.001744267352185,0.0016446167095115,M1404932042,0.0,0.0,0,0
1,4,0.0311685793116857,C1984094095,0.0002785347043701,0.0,C932583850,0.0001488598574821,0.0644353765402843,0,0
1,3,0.000606103006061,C1043358826,1.1388174807197944e-05,0.0,M1558079303,0.0,0.0,0,0
1,3,0.0009478290094782,C1671590089,0.0029947043701799,0.0027510439588688,M58488213,0.0,0.0,0,0
1,3,0.0008008990080089,C1053967012,0.0002819537275064,7.606452442159383e-05,M295304806,0.0,0.0,0,0
1,3,0.0008901890089018,C1632497828,7.606452442159383e-05,0.0,M33419717,0.0,0.0,0,0
1,3,0.0009920420099204,C764826684,0.0,0.0,M1940055334,0.0,0.0,0,0
